Rank,First_Name,Last_Name,Sex,Age,State,Time,Race,Race
15,Jonah,Wagner,M,20-24,KS,00:41:24.580,78.667,Tri-owa Indoor Triathlon
16,Tyler,Dennis,M,20-24,IA,00:41:41.130,78.147,Tri-owa Indoor Triathlon
17,Jack,Stewart,M,20-24,IL,00:43:33.700,74.781,Tri-owa Indoor Triathlon
18,Max,Wascher,M,15-19,IL,00:43:38.000,74.658,Tri-owa Indoor Triathlon
19,Andrew,Nguyen,M,20-24,KS,00:43:54.050,74.203,Tri-owa Indoor Triathlon
20,Kristina,Swenson,F,20-24,IA,00:44:12.000,81.071,Tri-owa Indoor Triathlon
1,Michael,Harris,M,60-64,NY,01:14:08.749,87.779,"HITS Triathlon Series: Sarasota, FL"
2,Cody,Angell,M,35-39,FL,01:15:03.387,86.714,"HITS Triathlon Series: Sarasota, FL"
3,Wyatt,Campbell,M,20-24,FL,01:15:58.970,85.656,"HITS Triathlon Series: Sarasota, FL"
4,Corey,Steimel,M,35-39,CO,01:16:43.670,84.825,"HITS Triathlon Series: Sarasota, FL"
5,Blake,Riley,M,20-24,FL,01:17:04.819,84.437,"HITS Triathlon Series: Sarasota, FL"
6,Scott,Nemec,M,20-24,IL,01:17:05.492,84.425,"HITS Triathlon Series: Sarasota, FL"
7,Dirk,Van Doren,M,60-64,FL,01:19:07.969,82.247,"HITS Triathlon Series: Sarasota, FL"
8,Jeremy,White,M,40-44,FL,01:20:01.390,81.332,"HITS Triathlon Series: Sarasota, FL"
9,Mike,Kaufman,M,50-54,FL,01:20:58.713,80.372,"HITS Triathlon Series: Sarasota, FL"
10,Brawley,Adams,M,25-29,FL,01:22:36.139,78.792,"HITS Triathlon Series: Sarasota, FL"
11,Kim,Albin,F,45-49,MI,01:22:59.550,86.264,"HITS Triathlon Series: Sarasota, FL"
12,Alexander,Mostovych,M,20-24,FL,01:23:00.057,78.414,"HITS Triathlon Series: Sarasota, FL"
13,Jaime,Wohl,F,40-44,FL,01:23:22.490,85.868,"HITS Triathlon Series: Sarasota, FL"
14,Matthew,Frommelt,M,35-39,FL,01:23:30.219,77.942,"HITS Triathlon Series: Sarasota, FL"
15,John,Slocum,M,55-59,FL,01:23:33.890,77.885,"HITS Triathlon Series: Sarasota, FL"
16,Jason,Blackman,M,35-39,FL,01:23:43.745,77.732,"HITS Triathlon Series: Sarasota, FL"
17,Katie,Hammond,F,35-39,FL,01:24:08.040,85.094,"HITS Triathlon Series: Sarasota, FL"
18,Mateus,Arruda,M,30-34,FL,01:24:25.790,77.087,"HITS Triathlon Series: Sarasota, FL"
19,Hunter,Carey,M,20-24,IA,01:25:26.741,76.17,"HITS Triathlon Series: Sarasota, FL"
20,Doerte,Fehseehlert,F,50-54,0,01:25:30.953,83.719,"HITS Triathlon Series: Sarasota, FL"
